A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
getTaskDefinitions,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,399,414,399,414,getDataTypeDefinitions,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,423,438,423,438,0.891646,
addDataTypeDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,468,475,468,475,initTasks - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,752,760,752,760,0.748197,
addDataTypeDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,468,475,468,475,initTypes - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,812,818,812,818,0.817505,
addDataTypeDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,468,475,468,475,attributeNamespaceDef,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DefaultDefinitions.java,52,59,52,59,0.767738,
addDataTypeDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,468,475,468,475,componentDef,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DefaultDefinitions.java,67,74,67,74,0.781897,
createNewTask,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,538,559,538,559,init,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\helper\ProjectHelperImpl.java,733,757,733,757,0.576517,
createNewTask,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,538,559,538,559,taskStarted,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\listener\CommonsLoggingListener.java,170,186,170,186,0.586177,
createNewTask,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,538,559,538,559,taskFinished - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\listener\CommonsLoggingListener.java,194,214,194,214,0.585174,
getElementName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,633,639,633,639,overrideProperties - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Ant.java,484,493,484,493,0.525706,
getElementName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,633,639,633,639,createProperty,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Ant.java,690,696,690,696,0.524298,
